,season,round,race_name,driver_id,driver_name,grid,position,points
214,2026,10,Belgian Grand Prix,ocon,Esteban Ocon,16,17,0
215,2026,10,Belgian Grand Prix,bottas,Valtteri Bottas,17,18,0
216,2026,10,Belgian Grand Prix,alonso,Fernando Alonso,22,19,0
217,2026,10,Belgian Grand Prix,stroll,Lance Stroll,20,20,0
218,2026,10,Belgian Grand Prix,perez,Sergio Pérez,18,21,0
219,2026,10,Belgian Grand Prix,russell,George Russell,3,22,0
220,2026,11,Hungarian Grand Prix,norris,Lando Norris,1,1,25
221,2026,11,Hungarian Grand Prix,max_verstappen,Max Verstappen,4,2,18
222,2026,11,Hungarian Grand Prix,antonelli,Andrea Kimi Antonelli,7,3,15
223,2026,11,Hungarian Grand Prix,leclerc,Charles Leclerc,2,4,12
224,2026,11,Hungarian Grand Prix,hamilton,Lewis Hamilton,5,5,10
225,2026,11,Hungarian Grand Prix,hadjar,Isack Hadjar,8,6,8
226,2026,11,Hungarian Grand Prix,russell,George Russell,6,7,6
227,2026,11,Hungarian Grand Prix,lawson,Liam Lawson,11,8,4
228,2026,11,Hungarian Grand Prix,hulkenberg,Nico Hülkenberg,10,9,2
229,2026,11,Hungarian Grand Prix,arvid_lindblad,Arvid Lindblad,9,10,1
230,2026,11,Hungarian Grand Prix,bortoleto,Gabriel Bortoleto,14,11,0
231,2026,11,Hungarian Grand Prix,gasly,Pierre Gasly,12,12,0
232,2026,11,Hungarian Grand Prix,stroll,Lance Stroll,20,13,0
233,2026,11,Hungarian Grand Prix,alonso,Fernando Alonso,16,14,0
234,2026,11,Hungarian Grand Prix,colapinto,Franco Colapinto,13,15,0
235,2026,11,Hungarian Grand Prix,ocon,Esteban Ocon,15,16,0
236,2026,11,Hungarian Grand Prix,albon,Alexander Albon,19,17,0
237,2026,11,Hungarian Grand Prix,sainz,Carlos Sainz,18,18,0
238,2026,11,Hungarian Grand Prix,bearman,Oliver Bearman,17,19,0
239,2026,11,Hungarian Grand Prix,piastri,Oscar Piastri,3,20,0
240,2026,11,Hungarian Grand Prix,perez,Sergio Pérez,22,21,0
241,2026,11,Hungarian Grand Prix,bottas,Valtteri Bottas,21,22,0
